Year,Species,Run,Date,DayOfYear,DailyCount,CumulativeCount,RunTimingPercentile,PeakProximityDays,PulseStrength,7DayAvg,RunPhase,Notes
2019,Sockeye,Early,2019-06-10,161,8500,120000,0.25,-45,0.12,7200,Pre-Peak,User-provided seed record
2019,Sockeye,Early,2019-06-20,171,12000,250000,0.35,-35,0.18,9800,Pre-Peak,User-provided seed record
2019,Sockeye,Late,2019-07-10,191,28000,600000,0.50,-15,0.35,22000,Pre-Peak,User-provided seed record
2019,Sockeye,Late,2019-07-20,201,95000,1200000,0.75,-5,0.60,78000,Peak,User-provided seed record
2019,Sockeye,Late,2019-07-25,206,140000,1800000,0.90,0,0.72,110000,Peak,User-provided seed record
2019,Sockeye,Late,2019-07-30,211,105000,2300000,0.95,5,-0.25,120000,Post-Peak,User-provided seed record
2019,Sockeye,Late,2019-08-05,217,60000,2600000,1.00,11,-0.35,82000,Post-Peak,User-provided seed record
2020,Sockeye,Early,2020-06-10,162,7000,90000,0.20,-45,0.10,6500,Pre-Peak,User-provided seed record
2020,Sockeye,Late,2020-07-12,194,25000,500000,0.45,-13,0.22,20000,Pre-Peak,User-provided seed record
2020,Sockeye,Late,2020-07-22,204,80000,1100000,0.70,-3,0.55,70000,Peak,User-provided seed record
2020,Sockeye,Late,2020-07-27,209,110000,1500000,0.85,2,0.40,90000,Peak,User-provided seed record
2020,Sockeye,Late,2020-08-03,216,70000,1800000,1.00,9,-0.30,85000,Post-Peak,User-provided seed record
2021,Sockeye,Early,2021-06-15,166,9000,130000,0.30,-40,0.15,8000,Pre-Peak,User-provided seed record
2021,Sockeye,Late,2021-07-15,196,40000,700000,0.55,-10,0.30,35000,Pre-Peak,User-provided seed record
2021,Sockeye,Late,2021-07-23,204,120000,1400000,0.80,-2,0.65,95000,Peak,User-provided seed record
2021,Sockeye,Late,2021-07-27,208,180000,2000000,0.95,2,0.70,140000,Peak,User-provided seed record
2021,Sockeye,Late,2021-08-02,214,95000,2400000,1.00,8,-0.40,120000,Post-Peak,User-provided seed record
2022,Sockeye,Early,2022-06-12,163,6000,80000,0.20,-43,0.08,5800,Pre-Peak,User-provided seed record
2022,Sockeye,Late,2022-07-14,195,30000,550000,0.50,-11,0.28,26000,Pre-Peak,User-provided seed record
2022,Sockeye,Late,2022-07-21,202,100000,1200000,0.75,-4,0.60,85000,Peak,User-provided seed record
2022,Sockeye,Late,2022-07-26,207,150000,1800000,0.90,1,0.75,120000,Peak,User-provided seed record
2022,Sockeye,Late,2022-08-04,216,80000,2100000,1.00,10,-0.45,95000,Post-Peak,User-provided seed record
2023,Sockeye,Early,2023-06-10,161,7500,100000,0.25,-45,0.11,7000,Pre-Peak,User-provided seed record
2023,Sockeye,Late,2023-07-13,194,35000,600000,0.50,-12,0.25,30000,Pre-Peak,User-provided seed record
2023,Sockeye,Late,2023-07-20,201,110000,1300000,0.75,-5,0.58,90000,Peak,User-provided seed record
2023,Sockeye,Late,2023-07-25,206,160000,1900000,0.90,0,0.68,130000,Peak,User-provided seed record
2023,Sockeye,Late,2023-08-01,213,90000,2300000,1.00,7,-0.35,110000,Post-Peak,User-provided seed record
2024,Sockeye,Early,2024-06-12,164,8000,110000,0.28,-43,0.14,7200,Pre-Peak,User-provided seed record
2024,Sockeye,Late,2024-07-14,196,32000,580000,0.52,-11,0.27,28000,Pre-Peak,User-provided seed record
2024,Sockeye,Late,2024-07-22,204,105000,1250000,0.78,-3,0.62,88000,Peak,User-provided seed record
2024,Sockeye,Late,2024-07-27,209,155000,1850000,0.92,2,0.70,125000,Peak,User-provided seed record
2024,Sockeye,Late,2024-08-03,216,85000,2200000,1.00,9,-0.40,100000,Post-Peak,User-provided seed record
